1 | estimateExecutionGasForMiner is unauthenticated, and the estimate's revert leaks confidential balances | High  | Unresolved
33 | The portal fee oracle records when each price was written, and no consumer reads it | Informational | Unresolved
34 | The blacklist deliberately does not reach a withdrawal already in flight, and the contracts do not say so | Informational | Unresolved
35 | Only amounts are confidential; the transaction graph is public and indexed | Informational | Unresolved
36 | Retry success is reported by a different event | Informational | Unresolved
37 | inboxErrorType() must never be called from a success callback | Informational | Unresolved
38 | Only three of the four terminal outcomes notify the source chain, and the fourth is the common one | Informational | Unresolved
39 | A documented pre-funding flow does not exist, and the balance it would have spent cannot be recovered | Informational | Unresolved
40 | Four transfer selectors resolve to two implementations, and one has no caller | Informational | Unresolved
41 | The burn path writes its nonce after an external call | Informational | Unresolved
42 | Every burn and mint computes an encrypted zero that is never read | Informational | Unresolved
43 | Two request fields documented as different are assigned the same value everywhere | Informational | Unresolved
44 | The mined batch is copied into memory before any item is validated | Informational | Unresolved
45 | Event fields narrow array lengths without checking, and the bound that prevents overflow is declared elsewhere | Informational | Unresolved
46 | Two naming conventions with different frames of reference are used together | Informational | Unresolved
47 | Code that cannot run, and two pieces that run but do not do what they appear to | Informational | Unresolved
48 | A superseded encode function remains beside its replacement, and it is the unsafe one | Informational | Unresolved
49 | A storage pointer is taken before its slot is written and read after, across a function boundary | Informational | Unresolved
50 | A reply leg carries an error selector belonging to a different contract's ABI | Informational | Unresolved
51 | A gas budget is passed and named as a fee | Informational | Unresolved
52 | Return data is bounded for the untrusted call target and unbounded for every trusted one | Informational | Unresolved
53 | The never-reverts contract on the feed library describes less than its wording implies | Informational | Unresolved
54 | A deposit escrow status is declared but unreachable | Informational | Unresolved
55 | Native coin sent to a portal is unattributable and cannot be returned to the sender | Informational | Unresolved
56 | A fee parameter named for basis points is denominated in parts per million | Informational | Unresolved
57 | Two cases where a cross-chain round trip is paid for and cannot succeed | Informational | Unresolved
58 | The routing setter does not apply a code check the factory applies elsewhere | Informational | Unresolved
59 | The capped-returndata fix discards the one value that would show a reason was truncated | Informational | Unresolved
60 | One execution-context slot is protected by two different mechanisms, and by neither where it is read | Informational | Unresolved
61 | Four structural invariants are enforced by convention rather than by the compiler | Informational | Unresolved
62 | Clearing a manual price takes the whole fee lane offline in a single transaction | Informational | Unresolved
63 | The reject ingest path skips the caps the normal ingest path applies, and meets one of them later | Informational | Unresolved
64 | The non-reverting decoder's bounds check is an unchecked addition, and it wraps | Informational | Unresolved
65 | A target can be forwarded less gas than its sender paid for, and the settlement event reports the figure that  | Informational | Unresolved
66 | Collateral is measured on the way in and taken on trust on the way out | Informational | Unresolved
67 | One of the three payload caps is bounded by nothing | Informational | Unresolved
68 | One fee has two quote surfaces, and the one that looks general-purpose cannot see per-portal overrides | Informational | Unresolved
69 | Lanes are per-chain in the request bookkeeping and global in the fee configuration | Informational | Unresolved
70 | A remount carries the collateral and the token, and silently drops the portal's own configuration | Informational | Unresolved
71 | A native deposit is refunded in wrapped form, though a native withdrawal is unwrapped | Informational | Unresolved
72 | pTokens transferred to a portal outside the withdrawal flow are stranded on COTI, unburnable | Informational | Unresolved
73 | transferAndCall lets any sender make the pToken issue an arbitrary call as itself, so onlyPToken is not a secu | Informational | Unresolved
74 | transferPTokenOwnership leaves the factory's pToken mappings pointing at the old portal | Informational | Unresolved
